BCS_Solar,BCS_Eolica,BCA_Solar,BCA_Eolica,SIN_Solar,SIN_Eolica
{'electricity': 0.159},{'electricity': 0.073},{'electricity': 0.0},{'electricity': 0.977},{'electricity': 0.072},{'electricity': 0.494}
{'electricity': 0.402},{'electricity': 0.046},{'electricity': 0.174},{'electricity': 0.978},{'electricity': 0.379},{'electricity': 0.543}
{'electricity': 0.591},{'electricity': 0.029},{'electricity': 0.45},{'electricity': 0.974},{'electricity': 0.59},{'electricity': 0.541}
{'electricity': 0.713},{'electricity': 0.061},{'electricity': 0.625},{'electricity': 0.959},{'electricity': 0.715},{'electricity': 0.55}
{'electricity': 0.778},{'electricity': 0.114},{'electricity': 0.725},{'electricity': 0.939},{'electricity': 0.777},{'electricity': 0.568}
{'electricity': 0.792},{'electricity': 0.212},{'electricity': 0.763},{'electricity': 0.913},{'electricity': 0.79},{'electricity': 0.599}
{'electricity': 0.756},{'electricity': 0.376},{'electricity': 0.745},{'electricity': 0.871},{'electricity': 0.751},{'electricity': 0.659}
{'electricity': 0.666},{'electricity': 0.524},{'electricity': 0.669},{'electricity': 0.839},{'electricity': 0.658},{'electricity': 0.718}
{'electricity': 0.517},{'electricity': 0.561},{'electricity': 0.528},{'electricity': 0.831},{'electricity': 0.498},{'electricity': 0.76}
{'electricity': 0.296},{'electricity': 0.59},{'electricity': 0.308},{'electricity': 0.82},{'electricity': 0.261},{'electricity': 0.768}
{'electricity': 0.04},{'electricity': 0.616},{'electricity': 0.053},{'electricity': 0.763},{'electricity': 0.013},{'electricity': 0.733}
{'electricity': 0.0},{'electricity': 0.61},{'electricity': 0.0},{'electricity': 0.706},{'electricity': 0.0},{'electricity': 0.716}
{'electricity': 0.0},{'electricity': 0.589},{'electricity': 0.0},{'electricity': 0.669},{'electricity': 0.0},{'electricity': 0.627}
{'electricity': 0.0},{'electricity': 0.583},{'electricity': 0.0},{'electricity': 0.655},{'electricity': 0.0},{'electricity': 0.535}
{'electricity': 0.0},{'electricity': 0.556},{'electricity': 0.0},{'electricity': 0.672},{'electricity': 0.0},{'electricity': 0.449}
{'electricity': 0.0},{'electricity': 0.507},{'electricity': 0.0},{'electricity': 0.657},{'electricity': 0.0},{'electricity': 0.476}
{'electricity': 0.0},{'electricity': 0.466},{'electricity': 0.0},{'electricity': 0.633},{'electricity': 0.0},{'electricity': 0.434}
{'electricity': 0.0},{'electricity': 0.465},{'electricity': 0.0},{'electricity': 0.616},{'electricity': 0.0},{'electricity': 0.329}
{'electricity': 0.0},{'electricity': 0.503},{'electricity': 0.0},{'electricity': 0.513},{'electricity': 0.0},{'electricity': 0.297}
{'electricity': 0.0},{'electricity': 0.525},{'electricity': 0.0},{'electricity': 0.295},{'electricity': 0.0},{'electricity': 0.294}
{'electricity': 0.0},{'electricity': 0.551},{'electricity': 0.0},{'electricity': 0.124},{'electricity': 0.0},{'electricity': 0.302}
{'electricity': 0.0},{'electricity': 0.568},{'electricity': 0.0},{'electricity': 0.083},{'electricity': 0.0},{'electricity': 0.252}
{'electricity': 0.0},{'electricity': 0.551},{'electricity': 0.0},{'electricity': 0.076},{'electricity': 0.0},{'electricity': 0.203}
{'electricity': 0.0},{'electricity': 0.568},{'electricity': 0.0},{'electricity': 0.061},{'electricity': 0.0},{'electricity': 0.122}
{'electricity': 0.151},{'electricity': 0.56},{'electricity': 0.0},{'electricity': 0.053},{'electricity': 0.081},{'electricity': 0.076}
{'electricity': 0.391},{'electricity': 0.471},{'electricity': 0.267},{'electricity': 0.063},{'electricity': 0.39},{'electricity': 0.013}
{'electricity': 0.581},{'electricity': 0.432},{'electricity': 0.508},{'electricity': 0.087},{'electricity': 0.6},{'electricity': 0.0}
{'electricity': 0.705},{'electricity': 0.355},{'electricity': 0.665},{'electricity': 0.114},{'electricity': 0.734},{'electricity': 0.0}
{'electricity': 0.773},{'electricity': 0.361},{'electricity': 0.752},{'electricity': 0.072},{'electricity': 0.807},{'electricity': 0.007}
{'electricity': 0.787},{'electricity': 0.321},{'electricity': 0.787},{'electricity': 0.046},{'electricity': 0.826},{'electricity': 0.08}
{'electricity': 0.75},{'electricity': 0.22},{'electricity': 0.766},{'electricity': 0.05},{'electricity': 0.791},{'electricity': 0.241}
{'electricity': 0.654},{'electricity': 0.184},{'electricity': 0.684},{'electricity': 0.089},{'electricity': 0.697},{'electricity': 0.476}
{'electricity': 0.489},{'electricity': 0.227},{'electricity': 0.538},{'electricity': 0.154},{'electricity': 0.541},{'electricity': 0.681}
{'electricity': 0.262},{'electricity': 0.375},{'electricity': 0.314},{'electricity': 0.214},{'electricity': 0.305},{'electricity': 0.765}
{'electricity': 0.03},{'electricity': 0.624},{'electricity': 0.053},{'electricity': 0.229},{'electricity': 0.019},{'electricity': 0.728}
